# Header: trajectory of angry bird. 

 x [m]   y [m]   t [s] 
 0.000   0.000   0.000 
 2.220   2.171   0.100 
 4.441   4.244   0.200 
 6.661   6.219   0.300 
 8.881   8.096   0.400 
11.102   9.875   0.500 
13.322  11.556   0.600 
15.542  13.139   0.700 
17.763  14.623   0.800 
19.983  16.010   0.900 
22.203  17.298   1.000 
24.423  18.488   1.100 
26.644  19.581   1.200 
28.864  20.575   1.300 
31.084  21.471   1.400 
33.305  22.268   1.500 
35.525  22.968   1.600 
37.745  23.570   1.700 
39.966  24.073   1.800 
42.186  24.479   1.900 
44.406  24.786   2.000 
46.627  24.996   2.100 
48.847  25.107   2.200 
51.067  25.120   2.300 
53.288  25.035   2.400 
55.508  24.852   2.500 
57.728  24.570   2.600 
59.949  24.191   2.700 
62.169  23.714   2.800 
64.389  23.138   2.900 
66.609  22.464   3.000 
68.830  21.693   3.100 
71.050  20.823   3.200 
73.270  19.855   3.300 
75.491  18.789   3.400 
77.711  17.625   3.500 
79.931  16.363   3.600 
82.152  15.002   3.700 
84.372  13.544   3.800 
86.592  11.987   3.900 
88.813  10.333   4.000 
91.033   8.580   4.100 
93.253   6.729   4.200 
95.474   4.780   4.300 
97.694   2.733   4.400 
99.914   0.588   4.500 
