# Header: trajectory of angry bird. 

 x [m]   y [m]   t [s] 
 0.000   0.000   0.000 
 0.000   0.000   0.000 
 0.002   0.002   0.000 
 0.004   0.005   0.000 
 0.006   0.007   0.000 
 0.008   0.010   0.000 
 0.010   0.012   0.001 
 0.012   0.014   0.001 
 0.014   0.017   0.001 
 0.016   0.019   0.001 
 0.018   0.022   0.001 
 0.020   0.024   0.001 
 0.022   0.027   0.001 
 0.024   0.029   0.001 
 0.026   0.031   0.001 
 0.028   0.034   0.001 
 0.030   0.036   0.002 
 0.032   0.039   0.002 
 0.034   0.041   0.002 
 0.036   0.043   0.002 
 0.038   0.046   0.002 
 0.040   0.048   0.002 
 0.043   0.051   0.002 
 0.045   0.053   0.002 
 0.047   0.055   0.002 
 0.049   0.058   0.002 
 0.051   0.060   0.002 
 0.053   0.063   0.003 
 0.055   0.065   0.003 
 0.057   0.068   0.003 
 0.059   0.070   0.003 
 0.061   0.072   0.003 
 0.063   0.075   0.003 
 0.065   0.077   0.003 
 0.067   0.080   0.003 
 0.069   0.082   0.003 
 0.071   0.084   0.003 
 0.073   0.087   0.004 
 0.075   0.089   0.004 
 0.077   0.092   0.004 
 0.079   0.094   0.004 
 0.081   0.096   0.004 
 0.083   0.099   0.004 
 0.085   0.101   0.004 
 0.087   0.104   0.004 
 0.089   0.106   0.004 
 0.091   0.108   0.004 
 0.093   0.111   0.005 
 0.095   0.113   0.005 
 0.097   0.116   0.005 
 0.099   0.118   0.005 
 0.101   0.121   0.005 
 0.103   0.123   0.005 
 0.105   0.125   0.005 
 0.107   0.128   0.005 
 0.109   0.130   0.005 
 0.111   0.133   0.006 
 0.113   0.135   0.006 
 0.115   0.137   0.006 
 0.117   0.140   0.006 
 0.119   0.142   0.006 
 0.121   0.145   0.006 
 0.124   0.147   0.006 
 0.126   0.149   0.006 
 0.128   0.152   0.006 
 0.130   0.154   0.006 
 0.132   0.157   0.007 
 0.134   0.159   0.007 
 0.136   0.161   0.007 
 0.138   0.164   0.007 
 0.140   0.166   0.007 
 0.142   0.169   0.007 
 0.144   0.171   0.007 
 0.146   0.173   0.007 
 0.148   0.176   0.007 
 0.150   0.178   0.007 
 0.152   0.181   0.008 
 0.154   0.183   0.008 
 0.156   0.186   0.008 
 0.158   0.188   0.008 
 0.160   0.190   0.008 
 0.162   0.193   0.008 
 0.164   0.195   0.008 
 0.166   0.198   0.008 
 0.168   0.200   0.008 
 0.170   0.202   0.008 
 0.172   0.205   0.009 
 0.174   0.207   0.009 
 0.176   0.210   0.009 
 0.178   0.212   0.009 
 0.180   0.214   0.009 
 0.182   0.217   0.009 
 0.184   0.219   0.009 
 0.186   0.222   0.009 
 0.188   0.224   0.009 
 0.190   0.226   0.009 
 0.192   0.229   0.009 
 0.194   0.231   0.010 
 0.196   0.234   0.010 
 0.198   0.236   0.010 
 0.200   0.238   0.010 
 0.202   0.241   0.010 
 0.205   0.243   0.010 
 0.207   0.246   0.010 
 0.209   0.248   0.010 
 0.211   0.250   0.010 
 0.213   0.253   0.010 
 0.215   0.255   0.011 
 0.217   0.258   0.011 
 0.219   0.260   0.011 
 0.221   0.262   0.011 
 0.223   0.265   0.011 
 0.225   0.267   0.011 
 0.227   0.270   0.011 
 0.229   0.272   0.011 
 0.231   0.274   0.011 
 0.233   0.277   0.011 
 0.235   0.279   0.012 
 0.237   0.282   0.012 
 0.239   0.284   0.012 
 0.241   0.286   0.012 
 0.243   0.289   0.012 
 0.245   0.291   0.012 
 0.247   0.294   0.012 
 0.249   0.296   0.012 
 0.251   0.298   0.012 
 0.253   0.301   0.012 
 0.255   0.303   0.013 
 0.257   0.306   0.013 
 0.259   0.308   0.013 
 0.261   0.310   0.013 
 0.263   0.313   0.013 
 0.265   0.315   0.013 
 0.267   0.318   0.013 
 0.269   0.320   0.013 
 0.271   0.322   0.013 
 0.273   0.325   0.013 
 0.275   0.327   0.014 
 0.277   0.330   0.014 
 0.279   0.332   0.014 
 0.281   0.334   0.014 
 0.283   0.337   0.014 
 0.286   0.339   0.014 
 0.288   0.342   0.014 
 0.290   0.344   0.014 
 0.292   0.346   0.014 
 0.294   0.349   0.014 
 0.296   0.351   0.015 
 0.298   0.354   0.015 
 0.300   0.356   0.015 
 0.302   0.358   0.015 
 0.304   0.361   0.015 
 0.306   0.363   0.015 
 0.308   0.366   0.015 
 0.310   0.368   0.015 
 0.312   0.370   0.015 
 0.314   0.373   0.015 
 0.316   0.375   0.016 
 0.318   0.378   0.016 
 0.320   0.380   0.016 
 0.322   0.382   0.016 
 0.324   0.385   0.016 
 0.326   0.387   0.016 
 0.328   0.390   0.016 
 0.330   0.392   0.016 
 0.332   0.394   0.016 
 0.334   0.397   0.016 
 0.336   0.399   0.017 
 0.338   0.402   0.017 
 0.340   0.404   0.017 
 0.342   0.406   0.017 
 0.344   0.409   0.017 
 0.346   0.411   0.017 
 0.348   0.414   0.017 
 0.350   0.416   0.017 
 0.352   0.418   0.017 
 0.354   0.421   0.017 
 0.356   0.423   0.018 
 0.358   0.426   0.018 
 0.360   0.428   0.018 
 0.362   0.430   0.018 
 0.364   0.433   0.018 
 0.366   0.435   0.018 
 0.369   0.438   0.018 
 0.371   0.440   0.018 
 0.373   0.442   0.018 
 0.375   0.445   0.018 
 0.377   0.447   0.019 
 0.379   0.450   0.019 
 0.381   0.452   0.019 
 0.383   0.454   0.019 
 0.385   0.457   0.019 
 0.387   0.459   0.019 
 0.389   0.461   0.019 
 0.391   0.464   0.019 
 0.393   0.466   0.019 
 0.395   0.469   0.019 
 0.397   0.471   0.020 
 0.399   0.473   0.020 
 0.401   0.476   0.020 
 0.403   0.478   0.020 
 0.405   0.481   0.020 
 0.407   0.483   0.020 
 0.409   0.485   0.020 
 0.411   0.488   0.020 
 0.413   0.490   0.020 
 0.415   0.493   0.020 
 0.417   0.495   0.021 
 0.419   0.497   0.021 
 0.421   0.500   0.021 
 0.423   0.502   0.021 
 0.425   0.505   0.021 
 0.427   0.507   0.021 
 0.429   0.509   0.021 
 0.431   0.512   0.021 
 0.433   0.514   0.021 
 0.435   0.517   0.021 
 0.437   0.519   0.022 
 0.439   0.521   0.022 
 0.441   0.524   0.022 
 0.443   0.526   0.022 
 0.445   0.528   0.022 
 0.447   0.531   0.022 
 0.450   0.533   0.022 
 0.452   0.536   0.022 
 0.454   0.538   0.022 
 0.456   0.540   0.022 
 0.458   0.543   0.023 
 0.460   0.545   0.023 
 0.462   0.548   0.023 
 0.464   0.550   0.023 
 0.466   0.552   0.023 
 0.468   0.555   0.023 
 0.470   0.557   0.023 
 0.472   0.560   0.023 
 0.474   0.562   0.023 
 0.476   0.564   0.023 
 0.478   0.567   0.024 
 0.480   0.569   0.024 
 0.482   0.572   0.024 
 0.484   0.574   0.024 
 0.486   0.576   0.024 
 0.488   0.579   0.024 
 0.490   0.581   0.024 
 0.492   0.583   0.024 
 0.494   0.586   0.024 
 0.496   0.588   0.024 
 0.498   0.591   0.025 
 0.500   0.593   0.025 
 0.502   0.595   0.025 
 0.504   0.598   0.025 
 0.506   0.600   0.025 
 0.508   0.603   0.025 
 0.510   0.605   0.025 
 0.512   0.607   0.025 
 0.514   0.610   0.025 
 0.516   0.612   0.025 
 0.518   0.615   0.026 
 0.520   0.617   0.026 
 0.522   0.619   0.026 
 0.524   0.622   0.026 
 0.526   0.624   0.026 
 0.528   0.626   0.026 
 0.531   0.629   0.026 
 0.533   0.631   0.026 
 0.535   0.634   0.026 
 0.537   0.636   0.026 
 0.539   0.638   0.027 
 0.541   0.641   0.027 
 0.543   0.643   0.027 
 0.545   0.646   0.027 
 0.547   0.648   0.027 
 0.549   0.650   0.027 
 0.551   0.653   0.027 
 0.553   0.655   0.027 
 0.555   0.657   0.027 
 0.557   0.660   0.027 
 0.559   0.662   0.028 
 0.561   0.665   0.028 
 0.563   0.667   0.028 
 0.565   0.669   0.028 
 0.567   0.672   0.028 
 0.569   0.674   0.028 
 0.571   0.677   0.028 
 0.573   0.679   0.028 
 0.575   0.681   0.028 
 0.577   0.684   0.028 
 0.579   0.686   0.029 
 0.581   0.688   0.029 
 0.583   0.691   0.029 
 0.585   0.693   0.029 
 0.587   0.696   0.029 
 0.589   0.698   0.029 
 0.591   0.700   0.029 
 0.593   0.703   0.029 
 0.595   0.705   0.029 
 0.597   0.708   0.029 
 0.599   0.710   0.030 
 0.601   0.712   0.030 
 0.603   0.715   0.030 
 0.605   0.717   0.030 
 0.607   0.719   0.030 
 0.609   0.722   0.030 
 0.611   0.724   0.030 
 0.614   0.727   0.030 
 0.616   0.729   0.030 
 0.618   0.731   0.030 
 0.620   0.734   0.031 
 0.622   0.736   0.031 
 0.624   0.739   0.031 
 0.626   0.741   0.031 
 0.628   0.743   0.031 
 0.630   0.746   0.031 
 0.632   0.748   0.031 
 0.634   0.750   0.031 
 0.636   0.753   0.031 
 0.638   0.755   0.031 
 0.640   0.758   0.032 
 0.642   0.760   0.032 
 0.644   0.762   0.032 
 0.646   0.765   0.032 
 0.648   0.767   0.032 
 0.650   0.770   0.032 
 0.652   0.772   0.032 
 0.654   0.774   0.032 
 0.656   0.777   0.032 
 0.658   0.779   0.032 
 0.660   0.781   0.033 
 0.662   0.784   0.033 
 0.664   0.786   0.033 
 0.666   0.789   0.033 
 0.668   0.791   0.033 
 0.670   0.793   0.033 
 0.672   0.796   0.033 
 0.674   0.798   0.033 
 0.676   0.800   0.033 
 0.678   0.803   0.033 
 0.680   0.805   0.034 
 0.682   0.808   0.034 
 0.684   0.810   0.034 
 0.686   0.812   0.034 
 0.688   0.815   0.034 
 0.690   0.817   0.034 
 0.692   0.820   0.034 
 0.695   0.822   0.034 
 0.697   0.824   0.034 
 0.699   0.827   0.034 
 0.701   0.829   0.035 
 0.703   0.831   0.035 
 0.705   0.834   0.035 
 0.707   0.836   0.035 
 0.709   0.839   0.035 
 0.711   0.841   0.035 
 0.713   0.843   0.035 
 0.715   0.846   0.035 
 0.717   0.848   0.035 
 0.719   0.850   0.035 
 0.721   0.853   0.036 
 0.723   0.855   0.036 
 0.725   0.858   0.036 
 0.727   0.860   0.036 
 0.729   0.862   0.036 
 0.731   0.865   0.036 
 0.733   0.867   0.036 
 0.735   0.869   0.036 
 0.737   0.872   0.036 
 0.739   0.874   0.037 
 0.741   0.877   0.037 
 0.743   0.879   0.037 
 0.745   0.881   0.037 
 0.747   0.884   0.037 
 0.749   0.886   0.037 
 0.751   0.888   0.037 
 0.753   0.891   0.037 
 0.755   0.893   0.037 
 0.757   0.896   0.037 
 0.759   0.898   0.038 
 0.761   0.900   0.038 
 0.763   0.903   0.038 
 0.765   0.905   0.038 
 0.767   0.907   0.038 
 0.769   0.910   0.038 
 0.771   0.912   0.038 
 0.773   0.915   0.038 
 0.776   0.917   0.038 
 0.778   0.919   0.038 
 0.780   0.922   0.039 
 0.782   0.924   0.039 
 0.784   0.926   0.039 
 0.786   0.929   0.039 
 0.788   0.931   0.039 
 0.790   0.934   0.039 
 0.792   0.936   0.039 
 0.794   0.938   0.039 
 0.796   0.941   0.039 
 0.798   0.943   0.039 
 0.800   0.945   0.040 
 0.802   0.948   0.040 
 0.804   0.950   0.040 
 0.806   0.953   0.040 
 0.808   0.955   0.040 
 0.810   0.957   0.040 
 0.812   0.960   0.040 
 0.814   0.962   0.040 
 0.816   0.964   0.040 
 0.818   0.967   0.040 
 0.820   0.969   0.041 
 0.822   0.972   0.041 
 0.824   0.974   0.041 
 0.826   0.976   0.041 
 0.828   0.979   0.041 
 0.830   0.981   0.041 
 0.832   0.983   0.041 
 0.834   0.986   0.041 
 0.836   0.988   0.041 
 0.838   0.991   0.041 
 0.840   0.993   0.042 
 0.842   0.995   0.042 
 0.844   0.998   0.042 
 0.846   1.000   0.042 
 0.848   1.002   0.042 
 0.850   1.005   0.042 
 0.852   1.007   0.042 
 0.854   1.010   0.042 
 0.857   1.012   0.042 
 0.859   1.014   0.042 
 0.861   1.017   0.043 
 0.863   1.019   0.043 
 0.865   1.021   0.043 
 0.867   1.024   0.043 
 0.869   1.026   0.043 
 0.871   1.029   0.043 
 0.873   1.031   0.043 
 0.875   1.033   0.043 
 0.877   1.036   0.043 
 0.879   1.038   0.043 
 0.881   1.040   0.044 
 0.883   1.043   0.044 
 0.885   1.045   0.044 
 0.887   1.047   0.044 
 0.889   1.050   0.044 
 0.891   1.052   0.044 
 0.893   1.055   0.044 
 0.895   1.057   0.044 
 0.897   1.059   0.044 
 0.899   1.062   0.044 
 0.901   1.064   0.045 
 0.903   1.066   0.045 
 0.905   1.069   0.045 
 0.907   1.071   0.045 
 0.909   1.074   0.045 
 0.911   1.076   0.045 
 0.913   1.078   0.045 
 0.915   1.081   0.045 
 0.917   1.083   0.045 
 0.919   1.085   0.045 
 0.921   1.088   0.046 
 0.923   1.090   0.046 
 0.925   1.092   0.046 
 0.927   1.095   0.046 
 0.929   1.097   0.046 
 0.931   1.100   0.046 
 0.933   1.102   0.046 
 0.935   1.104   0.046 
 0.937   1.107   0.046 
 0.940   1.109   0.046 
 0.942   1.111   0.047 
 0.944   1.114   0.047 
 0.946   1.116   0.047 
 0.948   1.119   0.047 
 0.950   1.121   0.047 
 0.952   1.123   0.047 
 0.954   1.126   0.047 
 0.956   1.128   0.047 
 0.958   1.130   0.047 
 0.960   1.133   0.047 
 0.962   1.135   0.048 
 0.964   1.137   0.048 
 0.966   1.140   0.048 
 0.968   1.142   0.048 
 0.970   1.145   0.048 
 0.972   1.147   0.048 
 0.974   1.149   0.048 
 0.976   1.152   0.048 
 0.978   1.154   0.048 
 0.980   1.156   0.048 
 0.982   1.159   0.049 
 0.984   1.161   0.049 
 0.986   1.163   0.049 
 0.988   1.166   0.049 
 0.990   1.168   0.049 
 0.992   1.171   0.049 
 0.994   1.173   0.049 
 0.996   1.175   0.049 
 0.998   1.178   0.049 
 1.000   1.180   0.049 
 1.002   1.182   0.050 
 1.004   1.185   0.050 
 1.006   1.187   0.050 
 1.008   1.190   0.050 
 1.010   1.192   0.050 
 1.012   1.194   0.050 
 1.014   1.197   0.050 
 1.016   1.199   0.050 
 1.018   1.201   0.050 
 1.021   1.204   0.050 
 1.023   1.206   0.051 
 1.025   1.208   0.051 
 1.027   1.211   0.051 
 1.029   1.213   0.051 
 1.031   1.216   0.051 
 1.033   1.218   0.051 
 1.035   1.220   0.051 
 1.037   1.223   0.051 
 1.039   1.225   0.051 
 1.041   1.227   0.051 
 1.043   1.230   0.052 
 1.045   1.232   0.052 
 1.047   1.234   0.052 
 1.049   1.237   0.052 
 1.051   1.239   0.052 
 1.053   1.241   0.052 
 1.055   1.244   0.052 
 1.057   1.246   0.052 
 1.059   1.249   0.052 
 1.061   1.251   0.052 
 1.063   1.253   0.053 
 1.065   1.256   0.053 
 1.067   1.258   0.053 
 1.069   1.260   0.053 
 1.071   1.263   0.053 
 1.073   1.265   0.053 
 1.075   1.267   0.053 
 1.077   1.270   0.053 
 1.079   1.272   0.053 
 1.081   1.275   0.053 
 1.083   1.277   0.054 
 1.085   1.279   0.054 
 1.087   1.282   0.054 
 1.089   1.284   0.054 
 1.091   1.286   0.054 
 1.093   1.289   0.054 
 1.095   1.291   0.054 
 1.097   1.293   0.054 
 1.099   1.296   0.054 
 1.102   1.298   0.054 
 1.104   1.301   0.055 
 1.106   1.303   0.055 
 1.108   1.305   0.055 
 1.110   1.308   0.055 
 1.112   1.310   0.055 
 1.114   1.312   0.055 
 1.116   1.315   0.055 
 1.118   1.317   0.055 
 1.120   1.319   0.055 
 1.122   1.322   0.055 
 1.124   1.324   0.056 
 1.126   1.326   0.056 
 1.128   1.329   0.056 
 1.130   1.331   0.056 
 1.132   1.334   0.056 
 1.134   1.336   0.056 
 1.136   1.338   0.056 
 1.138   1.341   0.056 
 1.140   1.343   0.056 
 1.142   1.345   0.056 
 1.144   1.348   0.057 
 1.146   1.350   0.057 
