# Header: trajectory of angry bird. 

 x [m]   y [m]   t [s] 
 0.000   0.000   0.000 
 0.000   0.000   0.000 
 0.002   0.002   0.000 
 0.005   0.005   0.000 
 0.007   0.007   0.000 
 0.009   0.009   0.000 
 0.011   0.011   0.001 
 0.014   0.014   0.001 
 0.016   0.016   0.001 
 0.018   0.018   0.001 
 0.020   0.020   0.001 
 0.023   0.023   0.001 
 0.025   0.025   0.001 
 0.027   0.027   0.001 
 0.029   0.029   0.001 
 0.032   0.032   0.001 
 0.034   0.034   0.002 
 0.036   0.036   0.002 
 0.038   0.038   0.002 
 0.041   0.041   0.002 
 0.043   0.043   0.002 
 0.045   0.045   0.002 
 0.048   0.047   0.002 
 0.050   0.050   0.002 
 0.052   0.052   0.002 
 0.054   0.054   0.002 
 0.057   0.057   0.002 
 0.059   0.059   0.003 
 0.061   0.061   0.003 
 0.063   0.063   0.003 
 0.066   0.066   0.003 
 0.068   0.068   0.003 
 0.070   0.070   0.003 
 0.072   0.072   0.003 
 0.075   0.075   0.003 
 0.077   0.077   0.003 
 0.079   0.079   0.003 
 0.081   0.081   0.004 
 0.084   0.084   0.004 
 0.086   0.086   0.004 
 0.088   0.088   0.004 
 0.091   0.090   0.004 
 0.093   0.093   0.004 
 0.095   0.095   0.004 
 0.097   0.097   0.004 
 0.100   0.099   0.004 
 0.102   0.102   0.004 
 0.104   0.104   0.005 
 0.106   0.106   0.005 
 0.109   0.108   0.005 
 0.111   0.111   0.005 
 0.113   0.113   0.005 
 0.115   0.115   0.005 
 0.118   0.118   0.005 
 0.120   0.120   0.005 
 0.122   0.122   0.005 
 0.124   0.124   0.006 
 0.127   0.127   0.006 
 0.129   0.129   0.006 
 0.131   0.131   0.006 
 0.134   0.133   0.006 
 0.136   0.136   0.006 
 0.138   0.138   0.006 
 0.140   0.140   0.006 
 0.143   0.142   0.006 
 0.145   0.145   0.006 
 0.147   0.147   0.007 
 0.149   0.149   0.007 
 0.152   0.151   0.007 
 0.154   0.154   0.007 
 0.156   0.156   0.007 
 0.158   0.158   0.007 
 0.161   0.160   0.007 
 0.163   0.163   0.007 
 0.165   0.165   0.007 
 0.167   0.167   0.007 
 0.170   0.169   0.008 
 0.172   0.172   0.008 
 0.174   0.174   0.008 
 0.176   0.176   0.008 
 0.179   0.178   0.008 
 0.181   0.181   0.008 
 0.183   0.183   0.008 
 0.186   0.185   0.008 
 0.188   0.187   0.008 
 0.190   0.190   0.008 
 0.192   0.192   0.009 
 0.195   0.194   0.009 
 0.197   0.196   0.009 
 0.199   0.199   0.009 
 0.201   0.201   0.009 
 0.204   0.203   0.009 
 0.206   0.206   0.009 
 0.208   0.208   0.009 
 0.210   0.210   0.009 
 0.213   0.212   0.009 
 0.215   0.215   0.009 
 0.217   0.217   0.010 
 0.219   0.219   0.010 
 0.222   0.221   0.010 
 0.224   0.224   0.010 
 0.226   0.226   0.010 
 0.229   0.228   0.010 
 0.231   0.230   0.010 
 0.233   0.233   0.010 
 0.235   0.235   0.010 
 0.238   0.237   0.010 
 0.240   0.239   0.011 
 0.242   0.242   0.011 
 0.244   0.244   0.011 
 0.247   0.246   0.011 
 0.249   0.248   0.011 
 0.251   0.251   0.011 
 0.253   0.253   0.011 
 0.256   0.255   0.011 
 0.258   0.257   0.011 
 0.260   0.260   0.011 
 0.262   0.262   0.012 
 0.265   0.264   0.012 
 0.267   0.266   0.012 
 0.269   0.269   0.012 
 0.272   0.271   0.012 
 0.274   0.273   0.012 
 0.276   0.275   0.012 
 0.278   0.278   0.012 
 0.281   0.280   0.012 
 0.283   0.282   0.012 
 0.285   0.284   0.013 
 0.287   0.287   0.013 
 0.290   0.289   0.013 
 0.292   0.291   0.013 
 0.294   0.293   0.013 
 0.296   0.296   0.013 
 0.299   0.298   0.013 
 0.301   0.300   0.013 
 0.303   0.302   0.013 
 0.305   0.305   0.013 
 0.308   0.307   0.014 
 0.310   0.309   0.014 
 0.312   0.311   0.014 
 0.315   0.314   0.014 
 0.317   0.316   0.014 
 0.319   0.318   0.014 
 0.321   0.320   0.014 
 0.324   0.323   0.014 
 0.326   0.325   0.014 
 0.328   0.327   0.014 
 0.330   0.329   0.015 
 0.333   0.332   0.015 
 0.335   0.334   0.015 
 0.337   0.336   0.015 
 0.339   0.338   0.015 
 0.342   0.341   0.015 
 0.344   0.343   0.015 
 0.346   0.345   0.015 
 0.348   0.347   0.015 
 0.351   0.350   0.015 
 0.353   0.352   0.016 
 0.355   0.354   0.016 
 0.358   0.356   0.016 
 0.360   0.359   0.016 
 0.362   0.361   0.016 
 0.364   0.363   0.016 
 0.367   0.365   0.016 
 0.369   0.368   0.016 
 0.371   0.370   0.016 
 0.373   0.372   0.016 
 0.376   0.374   0.017 
 0.378   0.377   0.017 
 0.380   0.379   0.017 
 0.382   0.381   0.017 
 0.385   0.383   0.017 
 0.387   0.385   0.017 
 0.389   0.388   0.017 
 0.391   0.390   0.017 
 0.394   0.392   0.017 
 0.396   0.394   0.017 
 0.398   0.397   0.018 
 0.401   0.399   0.018 
 0.403   0.401   0.018 
 0.405   0.403   0.018 
 0.407   0.406   0.018 
 0.410   0.408   0.018 
 0.412   0.410   0.018 
 0.414   0.412   0.018 
 0.416   0.415   0.018 
 0.419   0.417   0.018 
 0.421   0.419   0.019 
 0.423   0.421   0.019 
 0.425   0.424   0.019 
 0.428   0.426   0.019 
 0.430   0.428   0.019 
 0.432   0.430   0.019 
 0.434   0.433   0.019 
 0.437   0.435   0.019 
 0.439   0.437   0.019 
 0.441   0.439   0.019 
 0.443   0.442   0.020 
 0.446   0.444   0.020 
 0.448   0.446   0.020 
 0.450   0.448   0.020 
 0.453   0.451   0.020 
 0.455   0.453   0.020 
 0.457   0.455   0.020 
 0.459   0.457   0.020 
 0.462   0.460   0.020 
 0.464   0.462   0.020 
 0.466   0.464   0.021 
 0.468   0.466   0.021 
 0.471   0.469   0.021 
 0.473   0.471   0.021 
 0.475   0.473   0.021 
 0.477   0.475   0.021 
 0.480   0.477   0.021 
 0.482   0.480   0.021 
 0.484   0.482   0.021 
 0.486   0.484   0.021 
 0.489   0.486   0.022 
 0.491   0.489   0.022 
 0.493   0.491   0.022 
 0.496   0.493   0.022 
 0.498   0.495   0.022 
 0.500   0.498   0.022 
 0.502   0.500   0.022 
 0.505   0.502   0.022 
 0.507   0.504   0.022 
 0.509   0.507   0.022 
 0.511   0.509   0.023 
 0.514   0.511   0.023 
 0.516   0.513   0.023 
 0.518   0.516   0.023 
 0.520   0.518   0.023 
 0.523   0.520   0.023 
 0.525   0.522   0.023 
 0.527   0.525   0.023 
 0.529   0.527   0.023 
 0.532   0.529   0.023 
 0.534   0.531   0.024 
 0.536   0.534   0.024 
 0.539   0.536   0.024 
 0.541   0.538   0.024 
 0.543   0.540   0.024 
 0.545   0.542   0.024 
 0.548   0.545   0.024 
 0.550   0.547   0.024 
 0.552   0.549   0.024 
 0.554   0.551   0.024 
 0.557   0.554   0.025 
 0.559   0.556   0.025 
 0.561   0.558   0.025 
 0.563   0.560   0.025 
 0.566   0.563   0.025 
 0.568   0.565   0.025 
 0.570   0.567   0.025 
 0.572   0.569   0.025 
 0.575   0.572   0.025 
 0.577   0.574   0.025 
 0.579   0.576   0.026 
 0.582   0.578   0.026 
 0.584   0.581   0.026 
 0.586   0.583   0.026 
 0.588   0.585   0.026 
 0.591   0.587   0.026 
 0.593   0.589   0.026 
 0.595   0.592   0.026 
 0.597   0.594   0.026 
 0.600   0.596   0.026 
 0.602   0.598   0.027 
 0.604   0.601   0.027 
 0.606   0.603   0.027 
 0.609   0.605   0.027 
 0.611   0.607   0.027 
 0.613   0.610   0.027 
 0.615   0.612   0.027 
 0.618   0.614   0.027 
 0.620   0.616   0.027 
 0.622   0.619   0.027 
 0.625   0.621   0.028 
 0.627   0.623   0.028 
 0.629   0.625   0.028 
 0.631   0.627   0.028 
 0.634   0.630   0.028 
 0.636   0.632   0.028 
 0.638   0.634   0.028 
 0.640   0.636   0.028 
 0.643   0.639   0.028 
 0.645   0.641   0.028 
 0.647   0.643   0.029 
 0.649   0.645   0.029 
 0.652   0.648   0.029 
 0.654   0.650   0.029 
 0.656   0.652   0.029 
 0.658   0.654   0.029 
 0.661   0.657   0.029 
 0.663   0.659   0.029 
 0.665   0.661   0.029 
 0.668   0.663   0.029 
 0.670   0.665   0.030 
 0.672   0.668   0.030 
 0.674   0.670   0.030 
 0.677   0.672   0.030 
 0.679   0.674   0.030 
 0.681   0.677   0.030 
 0.683   0.679   0.030 
 0.686   0.681   0.030 
 0.688   0.683   0.030 
 0.690   0.686   0.030 
 0.692   0.688   0.031 
 0.695   0.690   0.031 
 0.697   0.692   0.031 
 0.699   0.695   0.031 
 0.701   0.697   0.031 
 0.704   0.699   0.031 
 0.706   0.701   0.031 
 0.708   0.703   0.031 
 0.711   0.706   0.031 
 0.713   0.708   0.031 
 0.715   0.710   0.032 
 0.717   0.712   0.032 
 0.720   0.715   0.032 
 0.722   0.717   0.032 
 0.724   0.719   0.032 
 0.726   0.721   0.032 
 0.729   0.724   0.032 
 0.731   0.726   0.032 
 0.733   0.728   0.032 
 0.735   0.730   0.032 
 0.738   0.732   0.033 
 0.740   0.735   0.033 
 0.742   0.737   0.033 
 0.744   0.739   0.033 
 0.747   0.741   0.033 
 0.749   0.744   0.033 
 0.751   0.746   0.033 
 0.753   0.748   0.033 
 0.756   0.750   0.033 
 0.758   0.753   0.033 
 0.760   0.755   0.034 
 0.763   0.757   0.034 
 0.765   0.759   0.034 
 0.767   0.761   0.034 
 0.769   0.764   0.034 
 0.772   0.766   0.034 
 0.774   0.768   0.034 
 0.776   0.770   0.034 
 0.778   0.773   0.034 
 0.781   0.775   0.034 
 0.783   0.777   0.035 
 0.785   0.779   0.035 
 0.787   0.781   0.035 
 0.790   0.784   0.035 
 0.792   0.786   0.035 
 0.794   0.788   0.035 
 0.796   0.790   0.035 
 0.799   0.793   0.035 
 0.801   0.795   0.035 
 0.803   0.797   0.035 
 0.806   0.799   0.036 
 0.808   0.802   0.036 
 0.810   0.804   0.036 
 0.812   0.806   0.036 
 0.815   0.808   0.036 
 0.817   0.810   0.036 
 0.819   0.813   0.036 
 0.821   0.815   0.036 
 0.824   0.817   0.036 
 0.826   0.819   0.037 
 0.828   0.822   0.037 
 0.830   0.824   0.037 
 0.833   0.826   0.037 
 0.835   0.828   0.037 
 0.837   0.830   0.037 
 0.839   0.833   0.037 
 0.842   0.835   0.037 
 0.844   0.837   0.037 
 0.846   0.839   0.037 
 0.849   0.842   0.038 
 0.851   0.844   0.038 
 0.853   0.846   0.038 
 0.855   0.848   0.038 
 0.858   0.851   0.038 
 0.860   0.853   0.038 
 0.862   0.855   0.038 
 0.864   0.857   0.038 
 0.867   0.859   0.038 
 0.869   0.862   0.038 
 0.871   0.864   0.039 
 0.873   0.866   0.039 
 0.876   0.868   0.039 
 0.878   0.871   0.039 
 0.880   0.873   0.039 
 0.882   0.875   0.039 
 0.885   0.877   0.039 
 0.887   0.879   0.039 
 0.889   0.882   0.039 
 0.892   0.884   0.039 
 0.894   0.886   0.040 
 0.896   0.888   0.040 
 0.898   0.891   0.040 
 0.901   0.893   0.040 
 0.903   0.895   0.040 
 0.905   0.897   0.040 
 0.907   0.899   0.040 
 0.910   0.902   0.040 
 0.912   0.904   0.040 
 0.914   0.906   0.040 
 0.916   0.908   0.041 
 0.919   0.911   0.041 
 0.921   0.913   0.041 
 0.923   0.915   0.041 
 0.925   0.917   0.041 
 0.928   0.919   0.041 
 0.930   0.922   0.041 
 0.932   0.924   0.041 
 0.935   0.926   0.041 
 0.937   0.928   0.041 
 0.939   0.931   0.042 
 0.941   0.933   0.042 
 0.944   0.935   0.042 
 0.946   0.937   0.042 
 0.948   0.939   0.042 
 0.950   0.942   0.042 
 0.953   0.944   0.042 
 0.955   0.946   0.042 
 0.957   0.948   0.042 
 0.959   0.951   0.042 
 0.962   0.953   0.043 
 0.964   0.955   0.043 
 0.966   0.957   0.043 
 0.968   0.959   0.043 
 0.971   0.962   0.043 
 0.973   0.964   0.043 
 0.975   0.966   0.043 
 0.978   0.968   0.043 
 0.980   0.971   0.043 
 0.982   0.973   0.043 
 0.984   0.975   0.044 
 0.987   0.977   0.044 
 0.989   0.979   0.044 
 0.991   0.982   0.044 
 0.993   0.984   0.044 
 0.996   0.986   0.044 
 0.998   0.988   0.044 
 1.000   0.991   0.044 
 1.002   0.993   0.044 
 1.005   0.995   0.044 
 1.007   0.997   0.045 
 1.009   0.999   0.045 
 1.011   1.002   0.045 
 1.014   1.004   0.045 
 1.016   1.006   0.045 
 1.018   1.008   0.045 
 1.020   1.011   0.045 
 1.023   1.013   0.045 
 1.025   1.015   0.045 
 1.027   1.017   0.045 
 1.030   1.019   0.046 
 1.032   1.022   0.046 
 1.034   1.024   0.046 
 1.036   1.026   0.046 
 1.039   1.028   0.046 
 1.041   1.030   0.046 
 1.043   1.033   0.046 
 1.045   1.035   0.046 
 1.048   1.037   0.046 
 1.050   1.039   0.046 
 1.052   1.042   0.047 
 1.054   1.044   0.047 
 1.057   1.046   0.047 
 1.059   1.048   0.047 
 1.061   1.050   0.047 
 1.063   1.053   0.047 
 1.066   1.055   0.047 
 1.068   1.057   0.047 
 1.070   1.059   0.047 
 1.073   1.062   0.047 
 1.075   1.064   0.048 
 1.077   1.066   0.048 
 1.079   1.068   0.048 
 1.082   1.070   0.048 
 1.084   1.073   0.048 
 1.086   1.075   0.048 
 1.088   1.077   0.048 
 1.091   1.079   0.048 
 1.093   1.081   0.048 
 1.095   1.084   0.048 
 1.097   1.086   0.049 
 1.100   1.088   0.049 
 1.102   1.090   0.049 
 1.104   1.093   0.049 
 1.106   1.095   0.049 
 1.109   1.097   0.049 
 1.111   1.099   0.049 
 1.113   1.101   0.049 
 1.116   1.104   0.049 
 1.118   1.106   0.049 
 1.120   1.108   0.050 
 1.122   1.110   0.050 
 1.125   1.112   0.050 
 1.127   1.115   0.050 
 1.129   1.117   0.050 
 1.131   1.119   0.050 
 1.134   1.121   0.050 
 1.136   1.124   0.050 
 1.138   1.126   0.050 
 1.140   1.128   0.050 
 1.143   1.130   0.051 
 1.145   1.132   0.051 
 1.147   1.135   0.051 
 1.149   1.137   0.051 
 1.152   1.139   0.051 
 1.154   1.141   0.051 
 1.156   1.143   0.051 
 1.159   1.146   0.051 
 1.161   1.148   0.051 
 1.163   1.150   0.051 
 1.165   1.152   0.052 
 1.168   1.155   0.052 
 1.170   1.157   0.052 
 1.172   1.159   0.052 
 1.174   1.161   0.052 
 1.177   1.163   0.052 
 1.179   1.166   0.052 
 1.181   1.168   0.052 
 1.183   1.170   0.052 
 1.186   1.172   0.052 
 1.188   1.174   0.053 
 1.190   1.177   0.053 
 1.192   1.179   0.053 
 1.195   1.181   0.053 
 1.197   1.183   0.053 
 1.199   1.185   0.053 
 1.202   1.188   0.053 
 1.204   1.190   0.053 
 1.206   1.192   0.053 
 1.208   1.194   0.053 
 1.211   1.197   0.054 
 1.213   1.199   0.054 
 1.215   1.201   0.054 
 1.217   1.203   0.054 
 1.220   1.205   0.054 
 1.222   1.208   0.054 
 1.224   1.210   0.054 
 1.226   1.212   0.054 
 1.229   1.214   0.054 
 1.231   1.216   0.054 
 1.233   1.219   0.055 
 1.235   1.221   0.055 
 1.238   1.223   0.055 
 1.240   1.225   0.055 
 1.242   1.227   0.055 
 1.245   1.230   0.055 
 1.247   1.232   0.055 
 1.249   1.234   0.055 
 1.251   1.236   0.055 
 1.254   1.239   0.055 
 1.256   1.241   0.056 
 1.258   1.243   0.056 
 1.260   1.245   0.056 
 1.263   1.247   0.056 
 1.265   1.250   0.056 
 1.267   1.252   0.056 
 1.269   1.254   0.056 
 1.272   1.256   0.056 
 1.274   1.258   0.056 
 1.276   1.261   0.056 
 1.278   1.263   0.057 
 1.281   1.265   0.057 
