#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]    ax [m/s*s]    ay [m/s*s]
  1.000000e-01  2.220315e+00  2.269365e+00  2.220315e+01  2.122215e+01  0.000000e+00  -9.810000e+00
  2.000000e-01  4.440631e+00  4.440631e+00  2.220315e+01  2.024115e+01  0.000000e+00  -9.810000e+00
  3.000000e-01  6.660946e+00  6.513796e+00  2.220315e+01  1.926015e+01  0.000000e+00  -9.810000e+00
  4.000000e-01  8.881261e+00  8.488861e+00  2.220315e+01  1.827915e+01  0.000000e+00  -9.810000e+00
  5.000000e-01  1.110158e+01  1.036583e+01  2.220315e+01  1.729815e+01  0.000000e+00  -9.810000e+00
  6.000000e-01  1.332189e+01  1.214469e+01  2.220315e+01  1.631715e+01  0.000000e+00  -9.810000e+00
  7.000000e-01  1.554221e+01  1.382546e+01  2.220315e+01  1.533615e+01  0.000000e+00  -9.810000e+00
  8.000000e-01  1.776252e+01  1.540812e+01  2.220315e+01  1.435515e+01  0.000000e+00  -9.810000e+00
  9.000000e-01  1.998284e+01  1.689269e+01  2.220315e+01  1.337415e+01  0.000000e+00  -9.810000e+00
  1.000000e+00  2.220315e+01  1.827915e+01  2.220315e+01  1.239315e+01  0.000000e+00  -9.810000e+00
  1.100000e+00  2.442347e+01  1.956752e+01  2.220315e+01  1.141215e+01  0.000000e+00  -9.810000e+00
  1.200000e+00  2.664378e+01  2.075778e+01  2.220315e+01  1.043115e+01  0.000000e+00  -9.810000e+00
  1.300000e+00  2.886410e+01  2.184995e+01  2.220315e+01  9.450153e+00  0.000000e+00  -9.810000e+00
  1.400000e+00  3.108441e+01  2.284401e+01  2.220315e+01  8.469153e+00  0.000000e+00  -9.810000e+00
  1.500000e+00  3.330473e+01  2.373998e+01  2.220315e+01  7.488153e+00  0.000000e+00  -9.810000e+00
  1.600000e+00  3.552504e+01  2.453784e+01  2.220315e+01  6.507153e+00  0.000000e+00  -9.810000e+00
  1.700000e+00  3.774536e+01  2.523761e+01  2.220315e+01  5.526153e+00  0.000000e+00  -9.810000e+00
  1.800000e+00  3.996568e+01  2.583928e+01  2.220315e+01  4.545153e+00  0.000000e+00  -9.810000e+00
  1.900000e+00  4.218599e+01  2.634284e+01  2.220315e+01  3.564153e+00  0.000000e+00  -9.810000e+00
  2.000000e+00  4.440631e+01  2.674831e+01  2.220315e+01  2.583153e+00  0.000000e+00  -9.810000e+00
  2.100000e+00  4.662662e+01  2.705567e+01  2.220315e+01  1.602153e+00  0.000000e+00  -9.810000e+00
  2.200000e+00  4.884694e+01  2.726494e+01  2.220315e+01  6.211529e-01  0.000000e+00  -9.810000e+00
  2.300000e+00  5.106725e+01  2.737610e+01  2.220315e+01  -3.598471e-01  0.000000e+00  -9.810000e+00
  2.400000e+00  5.328757e+01  2.738917e+01  2.220315e+01  -1.340847e+00  0.000000e+00  -9.810000e+00
  2.500000e+00  5.550788e+01  2.730413e+01  2.220315e+01  -2.321847e+00  0.000000e+00  -9.810000e+00
  2.600000e+00  5.772820e+01  2.712100e+01  2.220315e+01  -3.302847e+00  0.000000e+00  -9.810000e+00
  2.700000e+00  5.994851e+01  2.683976e+01  2.220315e+01  -4.283847e+00  0.000000e+00  -9.810000e+00
  2.800000e+00  6.216883e+01  2.646043e+01  2.220315e+01  -5.264847e+00  0.000000e+00  -9.810000e+00
  2.900000e+00  6.438914e+01  2.598299e+01  2.220315e+01  -6.245847e+00  0.000000e+00  -9.810000e+00
  3.000000e+00  6.660946e+01  2.540746e+01  2.220315e+01  -7.226847e+00  0.000000e+00  -9.810000e+00
  3.100000e+00  6.882977e+01  2.473382e+01  2.220315e+01  -8.207847e+00  0.000000e+00  -9.810000e+00
  3.200000e+00  7.105009e+01  2.396209e+01  2.220315e+01  -9.188847e+00  0.000000e+00  -9.810000e+00
  3.300000e+00  7.327040e+01  2.309225e+01  2.220315e+01  -1.016985e+01  0.000000e+00  -9.810000e+00
  3.400000e+00  7.549072e+01  2.212432e+01  2.220315e+01  -1.115085e+01  0.000000e+00  -9.810000e+00
  3.500000e+00  7.771104e+01  2.105829e+01  2.220315e+01  -1.213185e+01  0.000000e+00  -9.810000e+00
  3.600000e+00  7.993135e+01  1.989415e+01  2.220315e+01  -1.311285e+01  0.000000e+00  -9.810000e+00
  3.700000e+00  8.215167e+01  1.863192e+01  2.220315e+01  -1.409385e+01  0.000000e+00  -9.810000e+00
  3.800000e+00  8.437198e+01  1.727158e+01  2.220315e+01  -1.507485e+01  0.000000e+00  -9.810000e+00
  3.900000e+00  8.659230e+01  1.581315e+01  2.220315e+01  -1.605585e+01  0.000000e+00  -9.810000e+00
  4.000000e+00  8.881261e+01  1.425661e+01  2.220315e+01  -1.703685e+01  0.000000e+00  -9.810000e+00
  4.100000e+00  9.103293e+01  1.260198e+01  2.220315e+01  -1.801785e+01  0.000000e+00  -9.810000e+00
  4.200000e+00  9.325324e+01  1.084924e+01  2.220315e+01  -1.899885e+01  0.000000e+00  -9.810000e+00
  4.300000e+00  9.547356e+01  8.998408e+00  2.220315e+01  -1.997985e+01  0.000000e+00  -9.810000e+00
  4.400000e+00  9.769387e+01  7.049473e+00  2.220315e+01  -2.096085e+01  0.000000e+00  -9.810000e+00
  4.500000e+00  9.991419e+01  5.002438e+00  2.220315e+01  -2.194185e+01  0.000000e+00  -9.810000e+00
  4.600000e+00  1.021345e+02  2.857303e+00  2.220315e+01  -2.292285e+01  0.000000e+00  -9.810000e+00
