#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]    ax [m/s*s]    ay [m/s*s]
  1.000000e-01  1.020000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e-01  1.040000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  3.000000e-01  1.060000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  4.000000e-01  1.080000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  5.000000e-01  1.100000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  6.000000e-01  1.120000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  7.000000e-01  1.140000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  8.000000e-01  1.160000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  9.000000e-01  1.180000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.000000e+00  1.200000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.100000e+00  1.220000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.200000e+00  1.240000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.300000e+00  1.260000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.400000e+00  1.280000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.500000e+00  1.300000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.600000e+00  1.320000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.700000e+00  1.340000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.800000e+00  1.360000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.900000e+00  1.380000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.000000e+00  1.400000e+01  0.000000e+00  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
