#     time [s]         x [m]         y [m]      vx [m/s]       vy [ms]
  0.000000e+00  0.000000e+00  0.000000e+00  2.262742e+01  2.262742e+01
  1.000000e-01  2.262742e+00  2.213692e+00  2.262742e+01  2.164642e+01
  2.000000e-01  4.525483e+00  4.329283e+00  2.262742e+01  2.066542e+01
  3.000000e-01  6.788225e+00  6.346775e+00  2.262742e+01  1.968442e+01
  4.000000e-01  9.050967e+00  8.266167e+00  2.262742e+01  1.870342e+01
  5.000000e-01  1.131371e+01  1.008746e+01  2.262742e+01  1.772242e+01
  6.000000e-01  1.357645e+01  1.181065e+01  2.262742e+01  1.674142e+01
  7.000000e-01  1.583919e+01  1.343574e+01  2.262742e+01  1.576042e+01
  8.000000e-01  1.810193e+01  1.496273e+01  2.262742e+01  1.477942e+01
  9.000000e-01  2.036468e+01  1.639163e+01  2.262742e+01  1.379842e+01
  1.000000e+00  2.262742e+01  1.772242e+01  2.262742e+01  1.281742e+01
  1.100000e+00  2.489016e+01  1.895511e+01  2.262742e+01  1.183642e+01
  1.200000e+00  2.715290e+01  2.008970e+01  2.262742e+01  1.085542e+01
  1.300000e+00  2.941564e+01  2.112619e+01  2.262742e+01  9.874417e+00
  1.400000e+00  3.167838e+01  2.206458e+01  2.262742e+01  8.893417e+00
  1.500000e+00  3.394113e+01  2.290488e+01  2.262742e+01  7.912417e+00
  1.600000e+00  3.620387e+01  2.364707e+01  2.262742e+01  6.931417e+00
  1.700000e+00  3.846661e+01  2.429116e+01  2.262742e+01  5.950417e+00
  1.800000e+00  4.072935e+01  2.483715e+01  2.262742e+01  4.969417e+00
  1.900000e+00  4.299209e+01  2.528504e+01  2.262742e+01  3.988417e+00
  2.000000e+00  4.525483e+01  2.563483e+01  2.262742e+01  3.007417e+00
  2.100000e+00  4.751758e+01  2.588653e+01  2.262742e+01  2.026417e+00
  2.200000e+00  4.978032e+01  2.604012e+01  2.262742e+01  1.045417e+00
  2.300000e+00  5.204306e+01  2.609561e+01  2.262742e+01  6.441700e-02
  2.400000e+00  5.430580e+01  2.605300e+01  2.262742e+01  -9.165830e-01
  2.500000e+00  5.656854e+01  2.591229e+01  2.262742e+01  -1.897583e+00
  2.600000e+00  5.883128e+01  2.567348e+01  2.262742e+01  -2.878583e+00
  2.700000e+00  6.109403e+01  2.533658e+01  2.262742e+01  -3.859583e+00
  2.800000e+00  6.335677e+01  2.490157e+01  2.262742e+01  -4.840583e+00
  2.900000e+00  6.561951e+01  2.436846e+01  2.262742e+01  -5.821583e+00
  3.000000e+00  6.788225e+01  2.373725e+01  2.262742e+01  -6.802583e+00
  3.100000e+00  7.014499e+01  2.300794e+01  2.262742e+01  -7.783583e+00
  3.200000e+00  7.240773e+01  2.218053e+01  2.262742e+01  -8.764583e+00
  3.300000e+00  7.467048e+01  2.125503e+01  2.262742e+01  -9.745583e+00
  3.400000e+00  7.693322e+01  2.023142e+01  2.262742e+01  -1.072658e+01
  3.500000e+00  7.919596e+01  1.910971e+01  2.262742e+01  -1.170758e+01
  3.600000e+00  8.145870e+01  1.788990e+01  2.262742e+01  -1.268858e+01
  3.700000e+00  8.372144e+01  1.657199e+01  2.262742e+01  -1.366958e+01
  3.800000e+00  8.598418e+01  1.515598e+01  2.262742e+01  -1.465058e+01
  3.900000e+00  8.824693e+01  1.364188e+01  2.262742e+01  -1.563158e+01
  4.000000e+00  9.050967e+01  1.202967e+01  2.262742e+01  -1.661258e+01
  4.100000e+00  9.277241e+01  1.031936e+01  2.262742e+01  -1.759358e+01
  4.200000e+00  9.503515e+01  8.510951e+00  2.262742e+01  -1.857458e+01
  4.300000e+00  9.729789e+01  6.604443e+00  2.262742e+01  -1.955558e+01
  4.400000e+00  9.956063e+01  4.599835e+00  2.262742e+01  -2.053658e+01
  4.500000e+00  1.018234e+02  2.497126e+00  2.262742e+01  -2.151758e+01
  4.600000e+00  1.040861e+02  2.963182e-01  2.262742e+01  -2.249858e+01
  4.613133e+00  1.043833e+02  1.421085e-14  2.262742e+01  -2.262742e+01
